PG,Dennis Schroder
SG,Kent Bazemore
SF,Taurean Prince
PF,Ersan Ilyasova
C,Miles Plumlee
PG,Jarrett Jack
SG,Courtney Lee
SF,Tim Hardaway
PF,Michael Beasley
C,Kyle O'Quinn
PG,Kyrie Irving,GTD
SG,Jaylen Brown,GTD
SF,Jayson Tatum
PF,Al Horford
C,Aron Baynes
PG,Kemba Walker
SG,Nicolas Batum
SF,M. Kidd-Gilchrist
PF,Marvin Williams
C,Dwight Howard
PG,R. Westbrook,GTD
SG,Josh Huestis
SF,Paul George
PF,C. Anthony,GTD
C,Steven Adams
PG,Dennis Smith
SG,Yogi Ferrell
SF,Wesley Matthews
PF,Dirk Nowitzki
C,Dwight Powell
PG,D.J. Augustin
SG,Evan Fournier
SF,Jonathon Simmons
PF,Mario Hezonja
C,Bismack Biyombo
PG,Kyle Lowry
SG,DeMar DeRozan
SF,OG Anunoby
PF,Serge Ibaka
C,Jonas Valanciunas
PG,Tomas Satoransky
SG,Bradley Beal
SF,Otto Porter
PF,M. Morris,GTD
C,Marcin Gortat
PG,Damian Lillard
SG,C.J. McCollum
SF,Evan Turner,GTD
PF,Al-Farouq Aminu
C,Jusuf Nurkic
PG,Josh Hart
SG,K. Caldwell-Pope
SF,Brandon Ingram
PF,Julius Randle
C,Brook Lopez
PG,Stephen Curry
SG,Klay Thompson
SF,Kevin Durant
PF,Draymond Green
C,Zaza Pachulia
